weibo_text,豆包评分,opposite_sex_social_avoidance,相似性
最近上网满屏都是吃人不吐骨头的畜生男结果就是这段时间女生的恐男指数在不断暴涨,2,2.5,
最近在看《她对此感到厌烦》，觉得自己厌男情绪有在加重,2,2,
#母女上楼被雨衣男子拖走#最近的新闻真的很奇怪，好像天天在教人恐男恐婚，究竟是怎么了,2,2.5,
每次恐男的时候就会想，为什么我不是一个拉子,2,2,
我觉得我需要看心理医生了真就是各方面恐男恐婚恐恋,2,3.5,
深夜总喜欢想点不该想的，本人第一次对不谈恋爱不结婚不要孩子的想法产生了动摇。。。。我在想我要是老了，我该怎么办。可是我真的很不会谈恋爱，还厌男，讨厌熊孩子也害怕生孩子。。之前老幻想着自己可以去领养一个孩子但是上网查阅之后发现领养孩子并不是那么容易。,2,1.5,
他爹的任何年龄段的男的都有人随地小便厌男了,2,3,
#唐山打人事件9人全部落网#从昨天看到新闻开始，我最强烈的感受就是深深深深的难过，愤怒排第二。这个社会对女性真的是太不友好了，男的没办法感同身受只会说小题大做、又打拳了、开一些并不好笑的玩笑比如你长这样很安全等。总是说别把事情上升到性别对立，可是性别对换了这样的事情根本不可能发生啊！别说是这些施暴者，就算是媒体对于社会上的热点也总是在玩文字游戏。将男性的罪行中性化，打人说成双方交谈争吵。若不是这几个女孩穿着保守，恐怕又要有很多人说是她们自己不检点了。受害者总是要戴罪的。此外，男性犯了事词条上将性别能隐就隐，女性有了错就一定要写女xx。不想继续写了，每天一个恐男小技巧了。只想说既然落网了，那就请务必严惩吧，别找替罪羊，毕竟保护伞那么结实，15刑拘大逃犯,3,3.5,
#烧烤店主回应多名男子骚扰殴打女生#真就恐男了，这群男的怎么还有老婆的啊！真没被家暴过吗,2,3,
考虑得越多，越恐男恐恋恐婚，怕是要一辈子单着,2,4.5,
#作为女性所遭受的语言暴力#我真的恐男啊我感觉很多熟悉的同辈男生只要不牵涉男女恋爱关系都是通情达理体体面面的正常人一到男女关系上就不知道是个什么物种了真的恐,2,3,
老男人能不能离我远点我真的会恐男????????,2,3,
又看到了疯批伤害女孩的视频，厌男情绪再创新高，希望疯批男人死的干干净净,2,4.5,
社会新闻看多了越来越厌男特指猥琐/犯罪/各种意义上的脑子有病我都不知道怎么形容那种感觉就好像一坨坨狗屎一样在社会上横行霸道惹得这个大环境恶臭稀烂得流出污水令人反胃有些新闻里的当事人的操作真是太令人匪夷所思了就很蠢很烂很恶很俗你都没办法用正常人的思维和逻辑去剖析不禁思考他大爷的这是什么生物一天天的被刷新三观人和人之间的差别真够大的恶和善都是两极化可能任何事都如此吧是什么原因呢小到家庭教育？大到整个教育环境和社会环境？还是自古就固有的某些糟粕？有些男性活得那么坦率正直清澈明朗干干净净的相反也有像畜生一样的存在即污点,2,3,
我金主说他一直没说自己是男的是因为我天天骂男的厌男，怕我知道后不接他稿了,2,2,
我是真恐婚恐育恐男人，但是也不能说自己没有期待过有一天遇到喜欢的男生，我是觉得自己的喜欢不重要的，毕竟我也不懂喜欢一个人是什么感觉，我觉得我喜不喜欢他不重要，但是他必须是要喜欢我，对我好。但是我在期待这些的同时我又在害怕和男的相处，不知道要怎样交流。每次抖音上刷到那些关于生孩子结婚的视频，然后夫妻两人之间的相处之类的恐惧就会多增一分,3,1.5,
我觉得女生多多少少都会有点恐男吧，特别是一堆男人向你走过来的时候，所以我就是有点恐男怎么了！？#恐男#,1,1.5,
#目击者回应女子被男子拖进厕所#从唐山事件到前段时间#母女上楼被雨衣男子拖走#，现在又出现女子被“当众”拖进厕所的事件，接二连三的极端事件，让不少网友直呼又开始“恐男”了。幸亏女孩拼着劲儿跑出来求救，最后成功逃脱了。各位女孩们，不管在家还是在外，都一定要注意安全~#兔酱追热点#,2,3.5,
#晋江月逝水#我直接恐恋爱恐婚恐男谁来给我洗洗脑算了一直单着吧也挺好的,2,2.5,
我不知道我怎么才能爱他们了当我被所有流媒体的厌男情绪给淹没之后感觉一切都不值了,2,2.5,
#Ella自曝出道后被性骚扰#恶心恶心恶心恶心又是恐男恐婚恐孕的一天,2,4,
感觉自己快得“厌男症”了一段越来越不美好的感情，可能会让人内心封闭吧,2,1.5,
肯定有境外势力煽动，不然怎么每天一个恐婚恐育恐男小新闻,1,2,
#华东理工大学回应男生向12岁女孩要裸照#6每天一则恐婚恐育恐男小新闻,2,2.5,
每过几个月就会被新认识的人问一句：你是不是厌男？,1,1.5,
我不会越来越恐男吧感觉朋友失恋了会加深我对谈恋爱的恐惧尤其是在我眼里平时都特别清醒的朋友失恋了结果走不出来更害怕了,1,2.5,
#结婚前发现未婚夫是亿万富翁#一天一个恐男小技巧,2,2,
每活一天，厌男程度都在加重。明明知道人和人不一样，但无差别扫射这个群体是绝对没有问题的，为什么为什么我要在这么恶心的世界生存。因为这些垃圾而滋生的暴力倾向反而使我更厌恶自己，心里又反复告诉自己不值得，可明明是不值得的垃圾却在反复的鼓动自身的负面情绪，对包括自己在内的所有人都厌恶至极，就算只是一时才会萌生的想法，也是我真实的情绪。人性真是卑劣啊！想成为最美好的自己真的不可能吧！我真实地希望有些人早下地狱。#只是在骂人而已##这年头骂人都要拐弯抹角#,2,3,
我恐男所有男性离我远点真的很烦！！！没有情绪价值的人,2,2,
看了jm事件真的恶心的睡不着每日一个厌男小技巧,2,3.5,
我的首页现在每天都是男子杀妻、男子杀女友、男子不想给彩礼钱杀害怀孕8月的女友等让人不寒而栗的新闻。关注社会新闻，每天一个恐男小技巧。,2,2.5,
小幺最近好黏我但又莫名其妙不给她哥碰伸手就哈人幺子是不是像我一样呀厌男,2,1.5,
2019-05-06我现在极端厌恶擦亮双眼看清男人这种鬼话，男人这东西，谁他妈都看不透，我妈看透我弟弟了吗?她生的，她都看不透，她直到最后不明白我弟弟为什么那么恨她。亲生的，你都看不透，你他妈还看透后天认识的男人呢。我现在进入厌男佛系，我告诉你们实话吧，我都理解不了以前的我怎么跟那么多男人谈恋爱，我竟然还结两次婚，简直不要命啊，冒着生命危险，图什么呢?图个jb有屁用。我现在认为，随着科学技术医学进步，女性生育哈，就精子库购买，直接淘汰完事儿，科技比肉搏可先进多了。唉，我年轻时虽然也有试管婴儿，但精子库概念还没那么普及，咔咔生了俩孩子，用现代眼光一看，其实也挺后怕的。我觉得未来社会关于生育的观念，肯定将有个质的变化，那就是，女性去精子库挑选，社会为女性提供保障，家庭为女儿提供后盾，至于男性么，认清自己只是被选择的一方，有女人选择你为她的后代提供亲缘关系，你得感激涕零，为儿童提供高质陪伴竞争上岗，至于这个女人的后代，是不是你的后代，问都不要问，压根儿不是你操心的问题。这种观念上的转变，我已经在德国看到苗头了，到我女儿这一代，争取能实现吧。,5,3.5,
#嘟嘟酱童年被继父差点性侵#真的，再这样下去我恐男了,2,2,
男的恶心恶心恶心恶心恶心恶心恶心恶心恶心恶心我要恐男了,2,4,
#晋江月逝水#吐了，日常恐男，多给我爸妈亲戚看看，免得以后催我谈恋爱催我结婚,2,3.5,
问的太彻底不好，太八卦了不好，让人恐惧厌烦，是的快得恐男症,2,2,
#女子称怀孕7月被男友打致先兆流产#每日恐男1/1,2,2.5,
谁懂啊…越来越讨厌生活中遇到的男的我感觉我真的厌男了,2,2,
强行整肃好玩吗我真的狠狠厌男了要是他是个男的早从我世界消失了男的有什么好无语,2,3.5,
#男子为找到女友报假警抓对方#今日恐男get,2,2,
?决定今天开始不看热搜了，阴间新闻太多快恐男恐婚了,2,1,
真情实感的恐男了九年义务教育怎么能教出这种玩意来，可能没读过书吧真的无语,2,2,
#杀妻欲藏尸冰柜男子被判死刑#恐婚，恐孕，恐男,2,2.5,
#13岁女孩遭69岁男子性侵怀孕#才9年吗？？？每次看到这种心里第一反应越来越恐男（我知道有些男生还行但是有些就...）,2,2.5,
如果我真的是那种厌男的纯异性恋那太恐怖了我这辈子谈不了恋爱了啊？,2,2,
#社恐行为图鉴#我是恐男～（没有说男生不好的意思，是我自己的原因）,2,2.5,
越吃瓜越恶心?????????搞得越来越厌男了,2,3,
婚姻和工作让我厌男，社会新闻让我恐男，人生路漫漫，气不活了,2,2.5,
我他吗真是越来越恐男了我真是越来越讨厌这个社会对女孩子的偏见“为什么别人就强暴你猥亵你就不猥亵别人是不是因为你穿的太暴露了”“为什么人家偏偏就选中了你是不是你太骚了”“为什么你会这么轻易地就上别人当，真是没脑子没判断力”？我以后结婚了真的千万别生女孩了，我怕我让她在爱里面长大以为世界就是这么美好我怕她遇到什么事后不敢大声讲出来我怕她已经受到一些很不好的事情后还要被人骂是太傻白甜了太相信别人了我又怕我没给她足够的爱足够的保护让她以为妈妈不爱她我又怕让她过早接触世界过早见到到世界的肮脏。生而为女我很抱歉,2,3,
#河南遇害女孩父母亲发声#每天一个恐男小故事,2,2.5,
每日恐男超话每日恐男打卡，救命?我朋友被男人渣了，现在还在和我哭诉，男的都是人渣,2,1.5,
努力克服自己厌男的心理听到声音都会想吐?还有上完厕所不洗手的男的能不能滚远点啊尼玛的还到处碰一碰,2,4,
从这个梦都能看出来我有多恐男了，犯罪者都是男性，把我带走的是女警察...,2,3,
#张语格被工作人员强行握手#又是恐男的一天,2,2.5,
#男子因吵架拿啤酒瓶刺死女友#每天都在恐男,2,2.5,
#90后00后为什么越来越拒绝生孩子#恐男??别管爱生男的自己去生,2,2.5,
#将母女拖拽进屋的雨衣男已被拘留#谢谢了，不止恐婚了，恐男了已经,2,2.5,
不止一个朋友说搞不清楚我的性取向感觉我跟女生在一起的可能性比男生大是我表现的太厌男还是太喜欢看美女了啊,1,2,
看完《告白夫妇》这部剧更恐男恐恋恐婚恐育了……,2,2.5,
因为恐男所以要找一个男的保护我是不是有病啊,2,1.5,
每天一个厌男小技巧不够了是吧热搜直接挂两个,2,2.5,
#单身人设#不是说不能谈恋爱，而是你明明谈了恋爱或是结了婚甚至还有孩子，还营销自己单身，单纯，恐男，恐女………就特么恶心-_-||,2,2.5,
每天一个恐男小技巧，没想到男生也能这么小家子气,2,2.5,
#送别杭州2名牺牲消防员#恐男的那批混蛋呢，搞性别对立的那批混蛋呢，怎么不说话了，还知道要脸啊,无法,1,
太可怕了我感觉自己恐男已经变成生理上的了?,4,4,
#上外男生所投系牛磺酸泡腾片#哈哈哈哈哈哈…可真是精彩前脚女孩一群人坐烧烤店吃饭被性骚扰被打后脚就是高素质大学生在图书馆给不认识女学生下药我感觉自己都要瞎了是人是狗都让人看不清现在已经不仅仅是恐婚了…开始恐男了（你觉得你是一个好男人那你就是别和我杠我害怕）,2,3,
weibo：每天一个厌男小技巧每天x个???大塌方,2,2,
90和00后女生恐婚恐育恐男怎么来的被逼的??,2,1.5,
都说不太喜欢男的了还要怎样，今日恐男（1/1）,2,2,
#严惩唐山烧烤店打人事件狂徒#恐男了真恶心,2,2.5,
每次看到我爷爷奶奶吵架我又恐婚恐男感上升了哈哈。毁灭吧,2,2.5,
#结婚前发现未婚夫是亿万富翁#谢谢已经yue了每天一个恐男小故事?,2,2,
#温岭时代广场#原来女的还和古代一样做什么都是错嗯做核酸也是错被杀了都是错现代社会了为什么这么多somebody对受害者指指点点你配么给你好意思的还有警方我300度近视我都看得出来不是捅伤这事件干脆叫《温岭受害者有罪论》呗真的666现在不爱结婚的女生肯定有恐男恐婚的就是这么一堆社会败类带来的影响真的能不能制裁一下就一下,2,3.5,
看完大连，南京，以及蹲下拍女星的代拍普男……我真是……一天一个恐男小技巧,2,3,
为什么这个世界上会有这么恶心的人今天就不该出门厌男又又又加重了,2,4,
#遭男伴下药女子回应检方存疑不捕#太好了以后法律也不会保护女性的以后就是出门是个人你就得防着出了事就只能是活该倒霉了呗。保护畜生也不保护女性呗。每天一个厌男小技巧,2,4,
#青你2杜紫怡曝tangoz性骚扰#她不是有女朋友吗……………每日一恐男,2,2,
破车才需要备胎，我是不屑要啥备胎的，自己不喜欢的人喜欢自己只是累赘暂时没兴趣聊，感觉恐恋晚期了，还有厌男，情啊爱的想想就烦,2,3,
#电梯内男子两次猥亵13岁女孩被刑拘#艹，所以我选择性厌男,2,2,
越接触男的越觉得恶心厌男这辈子都不会好的了,2,2.5,
他们一家人来的时候每次都是我厌男情绪最高最想殺人的时候,2,5,
#男子在女友孕期出轨还想要回16万彩礼#恐男恐婚恐育,2,3,
大晚上给人气的睡不着觉，身边的同事竟然说西安地铁事件双方应该各打五十大板，保安和女生双方都有责任，保安的行为就是有点暴力，也是为了维护公共秩序。请问保安有执法权嘛？难道保安这么做，就代表这个女生有错了？的确现场事情究竟是怎么回事，我们也只能通过几个视频略知一二，究竟这个女生和大爷发生口角是否有错，我们不能下结论。最近的阴间新闻太多了，厌男情绪已经爆表，事情已经发生了，难道不应该引以为戒，而是让我们别看别关注嘛？,2,2.5,
但最拙劣的媚粉就是直接说我爱你和有没有人想和我结婚，一下激起我们非顺直那种恐婚恐男的心你们媚了个什么东西,2,2.5,
#香港警方公布蔡天凤碎尸案细节#这这这恐男的第N天现在的人怎么都这样啊报复心理这么强,2,2.5,
本来对男的就没啥好印象，今天在公车上发生的事情，让我更加恐男，尊重女性在在男的眼里到底是什么？女孩子出门在外一定要保护好自己。,3,2.5,
#警方回应男子猥亵女孩并打伤其母亲#这种事情看多了有没有反向让人看的爽的新闻啊，真的是每日一个厌男小妙闻,2,2,
每日两个疑问为什么世界上有那么多渣男渣男们的套路为啥都一样每天一个恐男小故事,2,3,
经过和我妈一晚的谈话，我现在不敢厌男了，由厌男改为恐男,5,2,
如果不是男性真的会对我有吸引力的话，我怎么会承认我会喜欢呢些没脑子愚蠢令人发指并且令人作呕的男人呢。我是厌男恐男，可我却没有办法真的违背我的心里，然后，去欺骗自己。窒息并且不适。我永远都不能站在一边，然后非常坚定自己的立场并且抨击和自己立场不一样的人们。因为我的立场本来就是中立的，性取向方面也是。,2,1,
姐是那种，风尘气重看起来勾男人实则对恐男，边界感超强的打工女王，为了谋生会去酒吧跳脱衣钢管舞，跳完舞外套一裹又在凌晨两点半的霓虹灯下奔赴下个酒吧赶场子,2,1,
#男子在女友孕期出轨还想要回16万彩礼#好下头啊。恐男一星期了。,2,2,
#目击者回应女子被男子拖进厕所#额已经完全恐男了,2,2.5,
我父母也是我的雷区，我为什么会变成这样，我为什么脾气这么暴躁，因为我离不开，因为我没本事没钱我离开他们独立不了因为是那个狗杂种把我害成了这样，我现在厌男也是因为他，还有我爸，跟我父母多相处一天我就会发疯一天一想到从前那些事我就无法控制自己可是我父母还要逼着我接受他们未经他人苦莫劝他人善我没有经历去照顾别人，群里有个女的天天烦我真恶心我天天内耗自己折磨自己，如果没有一个人真心爱我，那对彼此来说都是一种折磨，我会折磨你然后折磨我自己，我需要的是有个男人真心对我好为我付出为我着想，结果却得到了更大的失望你不仅仅是背刺我，还恶心我侮辱了你自己，你让我经历了一场谎言造就的美梦，等真相浮现时，只会让人更加恶心说你侮辱了我们之间的感情都晦气因为我跟你没有感情，从一开始你让你粉丝侮辱我就知道我在你心里屁都不是想想也能知道你会为了自己那点热度出卖任何人是你把我骗进来是你没有给我任何实质性的未来，我是你什么人？我凭什么要理解你？我是你女朋友吗？陪伴，沟通，相处什么都没有我凭什么要理解你相信你？我们之间什么都没有所以我只能认定你就是个捞男但是我认定的基本90%都是真的，所以我还是相信我的直觉的,2,4,
方协文怎么这么恶心我本来就厌男。现在更恶心了想吐?,2,4,
吃了三个小时的饭了把渣男底都翻透了真的渣恐男了,2,2,
#上外通报一学生被投放异物#我真服了现在还一边恐男一边喜欢男的我愿称活菩萨,无法,2,
#女子称怀孕7月被男友打致先兆流产#每天一个恐婚恐育恐男小技巧,2,3,
每天一上地铁就开始厌男，想把全世界男的都鲨了,2,5,
恐男恐恋恐婚恐育真的想一辈子单身??????,2,3.5,
#被家暴16次需终身挂粪袋案当事人发声#每天一个恐男技巧真的，这种故意伤害性质的“家暴”如果是家常便饭谁踏马还愿意结婚，以命换婚姻吗,2,3.5,
#严惩唐山烧烤店打人事件狂徒#看哭了，太恐怖了，恐男了，真的恐男了，以后看到这些体型的男的都要走远些。打人的全是大体型男，不管是什么样的女生上去劝架都能轻轻松松就打到地上，打到很远，能被轻轻松松拖走。女生该如何自保，先买个防身的。,2,3,
#上外通报一学生被投放异物#每日恐男一小技巧?。。。在图书馆都如此嚣张,2,2,
#LoveisLove#好的，今天是我的恐男同日,2,1,
#出轨不能作为离婚理由#谢谢，我现在恐男恐恋爱恐结婚恐生孩子活出自己,2,3,
中午在公司食堂吃饭，二十多个人，除了我以外只有一个女生，恐男了?,2,2,
夏天一到我所有恐男恐婚恐恋的情绪都不如恐蚊来得强烈,2,1,
我真的恐男男的太猥琐了太猥琐了每天都能遇到不同的猥琐男也不撒泡尿看看自己什么情况我看起来这么好拿捏吗我真是服了,2,3.5,
#我国结婚年龄越来越迟#恐婚又恐男，唯不恐迪8,2,1.5,
出了人命案人都已经不在了居然还在努力为凶手开脱疯狂宣扬受害者有罪论的人脑子没点毛病吗？难道出了这种性质恶劣手段残忍的命案不应该先找凶手绳之以法然后严厉审判？天天说什么女?散播厌男思想行为不端长了个屌的做了点什么事抱团辩护来得比谁都快真他妈恶心,2,2.5,
#患艾滋男子性侵15岁女生改判10年#是法律让我每日恐男的谢谢?造成一个女孩子一辈子的阴影结果才判十年,2,3,
#上外一男生图书馆下药#现在不仅恐婚，还恐男了,2,3,
#两口子吵架孕妻被扔高速#每天一个厌男恐婚的小技巧，不知道这种男人为什么要结婚？高速哎，你觉得自己很狂是嘛？,2,3,
#女生呵斥图书馆放不雅视频男子遭回怼#我他妈真的恶心吐了每日一恐男,2,4,
最近恐男有点严重路上看到个男的都觉得像渣男,2,2,
#警方通报女子被丈夫掌掴23次后吐血#ctm日常恐男，真的有够恶心的，不管怎么样家暴biss,2,4,
最近下头事真的一个赛一个地多再这样下去真的要恐男恐恋恐婚,2,1.5,
男的真的越拒绝越不要脸，无语，我再也不要因为我的修养不好意思拒绝随便加人微信了，恶心了喔，我真的恐男嘛？#时悟##唧唧叽叽呱呱#,2,2,
有的女的真的别太爱男，雌竞……又厌男了！！！#厌男#,2,1,
不习惯和男人超过正常范围的身体接触不是很正常吗？我妈老觉得我是因为缺父爱才这样，我就是单纯的……恐男,2,3,
真是越看越气，本来说有几个女生的热搜了特开心，还是优秀漂亮妹妹更开心了。就是有sb的男的在下面叫唤还有几个没有脑子的女的，点进资料一看，不是事事不如意没什么过头的男的，就是天天转发想当一个“好女人”的女的。别说厌男了，我都要恐脑瘫了，我出家去得了,2,1.5,
我爸回来了我的恐男症全天候发作恶梦开始了希望我能熬过去?,2,1,
关于lyfpc的事情一爆出来感觉我又恐男了可能是首页关于pc之类的刷到的太多了,2,2,
本来还在发呆无聊刷抖音刷到前男友气的我直接脑门一昏鼻血都要气出来了厌男噜,3,1,
其实一个#??厌男就直接能把你红温贴吧还没bb够吗？,2,1,
同事问我为啥没有男朋友，哈哈哈哈哈当然是恐男啊,2,2,
最近严重失眠，长这么大以来第一次失眠这么严重，每天不到早上五点没困意。为了调整作息，我已经在努力了，眼罩耳塞睡前洗澡喝牛奶，可是还是没用，不知道是不是因为换季也有关系，估计还是早上睡太迟了。昨天去食堂吃饭，恍然发现开学那么久只吃过四个窗口，来来回回就是猪扒自选，上星期偶然试了一下酸菜鱼还是不错的。百无聊赖的生活。昨天吃扒饭，因为人太多我本能选择了一个角落解决我的晚饭，正正好面对瑞幸咖啡，我的右边的右边坐着一桌男生，瑞幸咖啡这边有一个大概五岁的女孩，一直在和地上的纸箱玩，还时不时走过来和旁边那一桌男生讲话，突然想起小的时候我大概也是这样的，相比起姐姐更愿意接触哥哥类的人群，以前可能觉得哥哥们都好玩，现在长大了发现男生们也没什么神奇的，都长着两只眼睛一个嘴巴，20出头的我面对不熟的异性过来搭讪甚至会有点恐男。再也没有以前童叟无欺的感觉了。那个小女孩玩的很开心。像我以前一样。就算独自一个人也可以玩好久，无忧无虑，虽然没能当面和她说祝她一直这么开心。那就放在心里吧，希望她长到我这么大还能够一直开心下去，毕竟我都有点因为生活的种种而疲惫不堪难以微笑了。,3,1,
玛德家里大扫除太累了全我一个人干完了（厕所?厨房）我哥下午出去晚上回来坐客厅就玩手机纯纯厌男了现在一点胃口也没,2,1.5,
每个月会有十天厌男有十天厌世剩余的十天只是极少不多的快乐罢了,2,2.5,
?今日?（今天终于没忘茄！）上午没课早起失败，下午投融资老师布置了大作业，女人们一通讨论计算爆难，还说我们经济学院的学生都不用我讲的（等等，我什么院来着三年下来，学了数学，计算机，通工，物理，投融资（猜猜我是什么专业这两天微博瓜太多，吃的我厌男了这两天效率不高，明天一定要重新做人,2,1.5,
一直舍不得看，终于忍痛昨天看完，对于丧尸片的热爱让我一直以为自己心理或许有问题，不得不说看完真是酣畅淋漓，意犹未尽，恨不得冲到网飞偷出第三季的全部！差评吐槽女神出场时间太晚的怕是看女神大于剧情，恶补了故事背后的历史，真是慨叹编剧的用心，这种不留一丝怜悯之心大快朵颐的复仇之举让人心血澎湃！！对，我就是要灭了你们全国，然后加入我的丧尸族群，何等霸气又决绝，可能又要犯厌男症了…为女神疯狂打call，yyds！无敌期待第三季能出演，杀到片甲不留。王国：北方的阿信,1,2,
去年10月和wj去横店看完两个小咔回来就塌了一个还上热搜了这个月初刚上头wxy本来还想着去川西前跟wj路过横店呆几天去看看他结果提前塌了我这该死的眼光上头的都是啥人啊为什么粉个电子男人都要被背刺这个世界是真的想让我当尼姑是吧越来越厌男了,2,2,
#上外尹某某已被公安带走#最近这新闻看得真的恐男了....,2,2,
wb真搞笑随时都有女的说自己恐男然后被很多人附和但凡一个男的说恐女马上就群起而攻之了……这就是所谓的平等吗（本人也恐♂纯粹看不惯当biao子还要立牌坊的某些女的罢了）,2,1,
因为跟朋友老是骂朋友圈所有的女的的丑老公，以至于有点时间我在想是不是因为我厌男所以看那些男的都觉得丑。直到有一天出现了个不丑的老公才发现其他人的老公是真丑啊,2,1.5,
今天考完试了古文西文学科语文微格古文比我想象的简单，但是主观题还是等待老师给分学科语文只能说是贵人相助了微格，老师很温柔，我永远喜欢温柔小姐姐西文，哈利波特主题写得像小学生作文，真的需要练练文笔中午很开心的吃了顿饭下午看见了不好的新闻“善良能给人带来什么呢”这是目前一直在思考的问题有点开始恐男了…,2,1,
师弟190还总秀肌肉我：恐男了谢谢怎么说，四肢发达确实需要头脑简单一点来增加亲和力（不是,2,2,
看完更恐男了不过跟朋友们一起窝在厨房看电影可太舒服啦,2,1,
感觉自己越来越厌男了一想到是男的我就看他很不爽,2,2,
我舍友好可爱厌男第一，跟我说什么，好多女生被男的害了。还跟我说她有一个女性朋友也很渣，又谈男又谈女。我。,2,1,
林K长得好看这事还挺让人欣慰的，就像同样的道理男的说就会更让人信服（?一般的社会偏见），“厌男”的话美女说也会更让人信服,1,1,
事实证明我真的恐男了。。不管是好是坏都有点害怕,2,2,
真的被自习室左右两边俩男的烦到想回家复习并且开始厌男,2,3,
我真的好不喜欢有男的在我身边，特别是现在这份工作，周围男的浓度过高，我难道恐男吗？还是simply恐78罢了……我不想要他们给我讲不是机器人和机器人之间才会有的对话，不想要他们帮我而这还是因为我东西搬不动我确实无计可施，不想要他们给我抛一个我不知道他们在干嘛在开心什么的表情Jesus,2,2.5,
有些男的整天说你们这么讨厌男的也说明讨厌你爸呗笑死我了是啊讨厌啊怎么了老子的厌男恐男就是我爸从小培养出来的,2,1,
#举报钱枫女子回应警方通报#那些骂警察的女拳些，如果你们觉得处处受委屈，求求你们放弃国籍离开中国好么，去国外看看是不是你们吹嘘的平权得到尊重，没有一点脑子无脑跟风黑，现在的微博女拳已经到了厌男的地步，挑起男女对立，被某些歪屁股境外势力当枪使还觉得自己正义凛然,2,2,
我太他娘难过了哭得脑袋疼为什么我又看了一遍我是嫌自己活的太快乐了么厌男plus了,2,1,
(??ω???‖)?再一次做梦梦见前男友，迷迷糊糊里我记得我叹气说了一句“你以后真的别来我梦里了，我在哪都不想见到你”我的老天爷，我到底什么时候才能走出此人带给我的阴影，我严重恐男真的拜他所赐。,2,1.5,
最近是怎么了，越来越恐男了我现在晚上都不敢出去了，以后不会白天也不敢出去了吧,2,2.5,
看微博看多了真的会恐男...会觉得男的自尊真tm可怕，追求你你拒绝了还有一定几率杀你全家，不能再刷微博了?,2,2.5,
真的要厌男了真的很烦很讨厌再给我打电话我真的要骂人了?,2,2.5,
每一次见面都值得被记录ps：和好友聊完以后更加厌男,2,1.5,
几百年不联系的亲戚要介绍男朋友天知道我厌男症晚期对谈恋爱什么的生理性厌恶我只想一个人孤独终老,4,2,
今天恐男情绪到达顶峰半辈子不想谈恋爱不想靠近男的,2,2.5,
本来最近有点儿厌男情绪警察蜀黍凭一己之力打消了我这个念头,2,1,
因为专业没什么男的所以对一堆男的这种群体性概念已经模糊了但一到期末泡图书馆就会马上深深厌男啊又臭又有多动症又爱发出噪音想把他们全丢出去?,2,2.5,
周末真的好多男的在撸铁，给我油的，我真实恐男了,2,2,
厌男情绪上头的时候别说我担了我爸都要被我骂两句。最近怎么总是被男的骚扰恶心???,2,2,
二次元，同人女和以前的追星族有区别吗？cp是要磕的，游戏是不玩的，谷子是要买的，心理是厌男的，性取向是女同的。知道你们喜欢bl是最高贵的生物了，但互通肛门有什么好看的#二次元##ff7sc##同人#ff7超话,2,1,
一边说自己厌男一边喊好想要男朋友咋想的啊宝宝,2,1,
我的妈啊。。我真是对我室友的男朋友无语了。厌男。。。视频跟我室友讨论520的礼物，我室友问她的礼物是什么，男的就说那我也没收到礼物啊，结果就是男的得到礼物。但我室友没见收到?。。。我室友跟他说买了套衣服，这男的直接“那你给我买衣服没”我他妈？？想骂人了。。。,2,1,
我妈见到我：为啥你把自己打扮的像个男的我：我现在有点恐男…,2,1.5,
每天一个恐男小技巧，男的就这么管不住下半身吗,2,2,
又看了一遍卖油郎独占花魁，现在还有这样知情知趣儿的秦卖油吗？我真的有些恐男了除了我爸，没男的会真的对我好吧,2,1.5,
不管林丹多么厉害我看到他名字第一反应就是搂着小三拍屁股的那个动图针几把隔应人我现在这么厌男真是一点一点被渣男恶心出来的,2,2,
男人有啥用？除了添堵，还有啥用？好烦，厌男症。赶紧走开走开。,2,2,
女人下了狠心，最多也就是离开；而男人（不是全部）……热搜使人间歇性恐男,2,2,
我真的越来越厌男了。。已经到了看到男的就像呕的程度。,2,3,
让我爬楼不等电梯居然是因为前面太多男的恐男了,2,2.5,
p1：和饭搭子的第一顿饭p2：烤肉吃了半天也不知道吃的什么肉p3:送给姥姥的生日榴莲?晚上宿舍聊天好多炸裂的事情，离恐男不远了,2,1,
感觉自己要被逼成厌男症了我国恶臭直男今天死了吗？,2,2,
那些男的一评论我抖音我就觉得好下头……我越来越厌男了,2,1.5,
梦见帅T带我去超市梦见她给我前所未有的安全感厌男症犯了,2,1,
感谢svt治愈了我的厌男症??克拉虽远必到????,2,1,
直说了！厌男！吊癌别来！爹味大爷请去教育你儿子，别来我这儿说教！我懂的比你更多，不需要你来教我做事！,2,2.5,
我真的要恐男了男的好无聊除非给我个长得帅的搞笑男,2,1.5,
哥们，我和你都不是一个班的，你为什么每次从我身边走过都要抱怨几句说几句话。。。上次我和室友在回宿舍路上抱怨说考试考砸了，然后你开始安慰我，你的好意我心领了，但是我是很小声的在和室友吐槽啊啊啊啊啊啊主要是咱俩真的不熟啊啊啊啊，你一直安慰我搞的我好尴尬啊，而且。。我恐男都写脸上了,2,2,
